,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
265,JAKARTA SELATAN,2,2022,2022-02-01,106.8083333333333,-6.283333333333336,521,46.59692387992052,65.92069568730089,81.58694829785183
266,JAKARTA SELATAN,3,2022,2022-03-01,106.8083333333333,-6.283333333333336,778,52.105930138387016,73.2980843329592,104.19066727462844
267,JAKARTA SELATAN,4,2022,2022-04-01,106.8083333333333,-6.283333333333336,714,56.77094467612966,80.3193485375706,119.10366827700548
268,JAKARTA SELATAN,5,2022,2022-05-01,106.8083333333333,-6.283333333333336,755,62.788303973388686,89.24948710939746,134.87274066371847
269,JAKARTA SELATAN,6,2022,2022-06-01,106.8083333333333,-6.283333333333336,874,67.9053808417945,96.55666181175484,132.07504107562258
270,JAKARTA SELATAN,7,2022,2022-07-01,106.8083333333333,-6.283333333333336,825,67.99453154589783,96.80142226563538,135.18218760166957
271,JAKARTA SELATAN,8,2022,2022-08-01,106.8083333333333,-6.283333333333336,897,69.51203761238338,98.77829662367463,123.8860497261315
272,JAKARTA SELATAN,9,2022,2022-09-01,106.8083333333333,-6.283333333333336,978,67.64859977748173,96.21433491159496,114.67340292784074
273,JAKARTA SELATAN,10,2022,2022-10-01,106.8083333333333,-6.283333333333336,909,53.80438179313084,76.41093756246168,104.74544412093056
274,JAKARTA SELATAN,11,2022,2022-11-01,106.8083333333333,-6.283333333333336,931,50.15735798918871,71.49078285164855,101.35413575485616
275,JAKARTA SELATAN,12,2022,2022-12-01,106.8083333333333,-6.283333333333336,1047,41.6131503551868,59.56951742991328,85.51662863434365
36,JAKARTA TIMUR,1,2018,2018-01-01,106.90999999999995,-6.2600000000000025,1190,35.63293074693113,51.02963089479739,68.84024193539639
37,JAKARTA TIMUR,2,2018,2018-02-01,106.90999999999995,-6.2600000000000025,853,41.73317215716553,59.61227353405227,74.18135035018574
38,JAKARTA TIMUR,3,2018,2018-03-01,106.90999999999995,-6.2600000000000025,1075,48.05865415254573,68.33288531519554,93.48866622592274
39,JAKARTA TIMUR,4,2018,2018-04-01,106.90999999999995,-6.2600000000000025,960,63.39686696084931,89.96547698103684,109.92725498517112
40,JAKARTA TIMUR,5,2018,2018-05-01,106.90999999999995,-6.2600000000000025,884,70.39173479720876,100.02715012784032,122.65105424216476
41,JAKARTA TIMUR,6,2018,2018-06-01,106.90999999999995,-6.2600000000000025,637,70.92453046908663,100.81304773024344,119.45760889220507
42,JAKARTA TIMUR,7,2018,2018-07-01,106.90999999999995,-6.2600000000000025,1058,70.7484531735281,100.62092070484356,122.16915156786054
43,JAKARTA TIMUR,8,2018,2018-08-01,106.90999999999995,-6.2600000000000025,1008,58.21087632984597,82.71282266214679,98.28114392097828
44,JAKARTA TIMUR,9,2018,2018-09-01,106.90999999999995,-6.2600000000000025,955,60.77084006669006,85.8170289287006,96.48872824806128
45,JAKARTA TIMUR,10,2018,2018-10-01,106.90999999999995,-6.2600000000000025,1120,60.94763335233053,86.23443877316667,88.66387864382526
46,JAKARTA TIMUR,11,2018,2018-11-01,106.90999999999995,-6.2600000000000025,917,59.93669367480445,85.0748095015959,94.53257882490922
47,JAKARTA TIMUR,12,2018,2018-12-01,106.90999999999995,-6.2600000000000025,786,44.33112192447897,63.16350779271086,80.71123470042419
96,JAKARTA TIMUR,1,2019,2019-01-01,106.90999999999995,-6.2600000000000025,1100,42.67791254145919,60.90488093709217,78.44709828525322
97,JAKARTA TIMUR,2,2019,2019-02-01,106.90999999999995,-6.2600000000000025,908,48.55931058974319,68.9260588870873,79.34109209538697
98,JAKARTA TIMUR,3,2019,2019-03-01,106.90999999999995,-6.2600000000000025,1134,48.91954023615117,69.48916955925208,98.10849714464688
